"BORROWER_ID","AGE_OF_RELATION_MONTHS","TOTAL_NO_OF_LOANS","TOTAL_LOAN_AMOUNT"
"STK2367250",42,1,170590
"STK2373448",42,1,173350
"STK2370878",42,1,103950
"STK2380748",42,1,99400
"STK2375661",42,1,173495
"STK2366604",42,2,323470
"STK2366550",42,1,140000
"STK2373063",42,1,117000
"STK2374195",42,2,267150
"STK2377083",42,1,169050
"STK2363191",42,1,164850
"STK2365344",42,2,333112.7
"STK2366668",42,2,401500
"STK2371793",42,2,449430
"STK2366871",42,1,103950
"STK2374814",42,1,162000
"STK2370952",42,1,226600
"STK1113715",42,1,183855
"STK1630197",42,1,149300
"STK2384004",42,1,259000
"STK2388693",42,1,139510
"STK1199003",42,1,164850
"STK1577204",42,1,81000
"STK2350748",42,1,226600
"STK2388464",42,1,169000
"STK2386822",42,1,99800
"STK1019340",42,2,300210
"STK2379163",42,1,164800
"STK2353360",42,1,110600
"STK2368696",42,1,111499
"STK2373628",42,2,283350
"STK2371868",42,1,129500
"STK938880",42,3,330200
"STK1983921",66,2,305930
"STK2371866",42,2,293800
"STK2368102",42,1,162000
"STK2365334",42,1,284550
"STK2368236",42,1,164350
"STK2378269",42,1,114000
"STK2365926",42,1,146000
"STK2375402",42,1,234600
"STK2377297",42,2,202500
"STK2368907",42,1,283850
"STK2356324",42,1,226068
"STK2367067",42,1,137000
"STK2369883",42,1,156000
"STK2372259",42,1,109900
"STK2368602",42,1,142200
"STK2385565",42,1,150850
"STK2385444",42,1,127000
"STK2382892",42,2,473565.8
"STK2380829",42,1,173495
"STK1611340",42,1,164500
"STK2382695",42,2,329700
"STK2383335",42,1,164850
"STK2383549",42,1,140400
"STK2385308",42,1,130000
"STK1771638",42,2,284000
"STK2358640",42,1,199500
"STK2342024",42,1,73200
"STK2374726",42,1,200000
"STK2371813",42,1,137000
"STK2361591",42,1,164500
"STK2047810",42,1,164850
"STK2375303",42,1,147100
"STK2374424",42,1,290500
"STK1798164",42,1,167999
"STK2368822",42,1,160500
"STK2371955",42,1,138810
"STK2378400",42,1,110600
"STK2371054",42,1,219000
"STK2368104",42,1,164850
"STK2370710",42,1,132200
"STK2378389",42,1,122500
"STK2365720",42,1,227430
"STK2365179",42,1,164850
"STK2370055",42,1,164800
"STK2368241",42,1,164850
"STK2371812",42,2,285700
"STK2370580",42,1,229915
"STK2386388",42,1,162000
"STK2389160",42,1,139510
"STK303732",42,1,173450
"STK2387107",42,1,162000
"STK2388625",42,1,227570
"STK2384417",42,1,227570
"STK2385281",42,1,148350
"STK2370603",42,1,171150
"STK1178804",42,1,227570
"STK2388690",42,3,710850
"STK264277",42,1,159000
"STK2386685",42,3,392400
"STK2389299",42,2,398881.85
"STK1449304",42,1,138800
"STK2369910",42,1,162800
"STK2367380",42,1,171150
"STK2375444",42,1,98000
"STK2368858",42,1,167930
"STK2375400",42,1,183850
"STK757962",42,1,164850
"STK2310921",42,1,164850
"STK2376472",42,1,145200
"STK1332715",42,1,132930
"STK384058",100,2,223681
"STK2363642",42,1,148500
"STK2379365",42,1,279930
"STK1752990",42,1,162000
"STK2372328",42,2,283495
"STK2380715",42,1,120000
"STK2376173",42,1,122500
"STK2366358",42,6,711350
"STK2366303",42,1,164500
"STK2366329",42,1,115500
"STK2365233",42,1,126000
"STK693211",81,2,332500
"STK1938651",42,2,434500
"STK2368641",42,1,130600
"STK441173",47,4,939500
"STK2389630",42,1,202950
"STK2379903",42,1,103446
"STK2381968",42,1,137000
"STK2386273",42,1,145530
"STK2387187",42,1,85400
"STK2388523",42,1,117000
"STK2383086",42,2,305495
"STK2381120",42,1,108500
"STK2359801",42,1,130000
"STK2370155",42,2,510000
"STK2376176",42,1,128800
"STK2376004",42,1,164800
"STK2365735",42,1,149660
"STK2370811",42,1,145000
"STK2379007",42,1,155900
"STK2369342",42,1,203000
"STK2370542",42,1,147000
"STK2367698",42,1,320000
"STK2374276",42,1,119000
"STK2375632",42,1,173495
"STK1534870",42,1,122500
"STK2031873",66,2,395900
"STK2379976",42,1,115400
"STK2376862",42,1,255430
"STK2368633",42,1,110000
"STK2219638",42,3,1544700
"STK2366237",42,1,147000
"STK2378682",42,1,257600
"STK1435085",47,2,300000
"STK1599605",42,1,110600
"STK2366477",42,1,95130
"STK2339918",42,1,91124.03
"STK2373632",42,1,167200
"STK2373213",42,1,102000
"STK2375794",42,2,186000
"STK2368627",42,3,2268000
"STK2366684",42,2,532500
"STK2388582",42,1,139510
"STK2135744",49,2,308000
"STK2387204",42,1,148750
"STK2386422",42,1,148700
"STK1924539",67,3,346230
"STK2387165",42,2,374780
"STK2373095",42,2,283110.76
"STK565451",42,2,270900
"STK2366063",42,1,283850
"STK2344715",42,1,164500
"STK2251681",42,1,164500
"STK1815048",42,2,384500
"STK1000771",42,1,173495
"STK2369976",42,1,189000
"STK89464",42,1,101500
"STK2373446",42,1,117600
"STK2374854",42,1,307930
"STK2366995",42,1,121030
"STK2365826",42,1,172350
"STK2378450",42,1,164850
"STK2379724",42,1,173350
"STK2376913",42,1,230000
"STK2366397",42,2,255710
"STK2369644",42,1,154000
"STK2364730",42,1,164850
"STK2377236",42,1,105900
"STK423984",42,1,234500
"STK2376517",42,1,280800
"STK1988703",58,3,446660
"STK945190",42,1,171500
"STK2177527",48,2,323500
"STK2375903",42,1,134000
"STK1083316",42,1,100000
"STK2369331",42,1,148700
"STK2370739",42,1,136977
"STK2369366",42,1,173495
"STK2365830",42,1,183190
"STK2375792",42,1,100100
"STK849553",42,1,120800
"STK41161",42,1,307900
"STK2381244",42,2,188000
"STK2224926",42,2,234850
"STK2388026",42,1,110600
"STK903137",42,1,101500
"STK2353647",42,1,157550
"STK1146186",42,1,128000
"STK2372889",42,1,227570
"STK2371179",42,1,161913
"STK2370429",42,1,110600
"STK2020215",42,1,255490
"STK2363704",42,1,150850
"STK2375236",42,2,254850
"STK2371652",42,1,101500
"STK2031171",42,1,120000
"STK2369666",42,1,206430
"STK196417",42,1,163600
"STK2370792",42,1,87500
"STK2363878",42,1,159900
"STK2346960",43,3,478400
"STK2376516",42,1,183190
"STK2374715",42,1,132930
"STK2369728",42,1,164500
"STK2356929",42,1,62200
"STK2377963",42,2,254850
"STK2367267",42,2,205600
"STK2366670",42,1,168900
"STK2366799",42,1,149660
"STK649037",42,1,125900
"STK906698",42,1,70000
"STK2374916",42,1,164710
"STK1550558",42,2,255743
"STK2384739",42,1,96790
"STK2383400",42,1,99500
"STK2382395",42,1,139500
"STK2386055",42,1,132930
"STK2381160",42,1,139510
"STK2387259",42,1,107000
"STK258529",114,2,267230
"STK2381135",42,1,173350
"STK2390641",42,2,252850
"STK2386664",42,1,238000
"STK2367723",42,2,262000
"STK2371129",42,1,117850
"STK442614",42,1,136100
"STK620333",42,2,374500
"STK2367034",42,1,137000
"STK2377279",42,1,95900
"STK497758",42,1,160230
"STK2363508",42,1,370000
"STK2374687",42,1,164150
"STK2001638",43,2,2300000
"STK2038068",42,1,99000
"STK2367495",42,1,164800
"STK2378628",42,1,164850
"STK2367044",42,1,136600
"STK1578657",41,2,267000
"STK2368482",42,1,226600
"STK2365714",42,1,111930
"STK2378579",42,1,164850
"STK2221546",42,1,105000
"STK2371139",42,2,290000
"STK2367131",42,1,164850
"STK2023445",43,2,384500
"STK2370240",42,1,157500
"STK2379290",42,3,486620
"STK2367563",42,1,164000
"STK580368",42,1,115000
"STK1474361",42,1,164500
"STK2368516",42,1,164000
"STK2374273",42,1,164500
"STK2365342",42,1,290500
"STK2381811",42,1,244990
"STK2385576",42,1,159250
"STK1531961",42,1,171000
"STK2386914",42,1,138310
"STK2387563",42,1,114000
"STK2384196",42,1,164850
"STK1022858",42,2,412030
"STK2248851",42,2,183800
"STK186106",123,12,16736070
"STK2366852",42,2,463930
"STK2371055",42,2,254500
"STK1690353",42,1,50000
"STK2380179",42,1,166900
"STK2379220",42,1,246400
"STK2370836",42,2,290000
"STK2378122",42,1,109800
"STK2370120",42,1,238000
"STK2368431",42,2,234965
"STK2370488",42,1,149660
"STK1038693",82,2,236500
"STK40488",42,2,265000
"STK2365239",41,1,465000
"STK92394",47,4,543500
"STK2365542",42,1,154136
"STK291419",72,10,8790500
"STK2370196",42,1,255100
"STK2373296",42,1,167230
"STK2375678",42,1,173495
"STK2377872",42,1,174965
"STK2366081",42,1,164850
"STK2380654",42,2,229400
"STK2366287",42,1,227400
"STK2388714",42,2,324600
"STK2386317",42,1,122500
"STK2387737",42,2,635000
"STK2383777",42,1,128401
"STK1738920",42,1,132930
"STK2385652",42,1,164710
"STK2375967",42,1,164800
"STK2037295",46,2,322600
"STK2381534",42,1,139300
"STK1901887",42,1,157650
"STK2365293",42,1,162850
"STK2369310",42,1,171000
"STK2378241",42,1,164850
"STK2365805",42,1,164850
"STK2379850",42,2,276700
"STK1013397",42,1,164500
"STK2367447",42,1,116000
"STK2369078",42,1,173495
"STK2372152",42,1,70000
"STK2372512",42,1,139510
"STK356686",42,1,139500
"STK2373240",42,2,194600
"STK942162",42,1,139999
"STK2366249",42,1,164500
"STK2379743",42,1,267750
"STK1654092",42,1,178500
"STK2366738",42,1,164850
"STK2368331",42,1,149600
"STK2369843",42,1,145000
"STK2368880",42,1,147500
"STK2373078",42,1,140000
"STK2266943",42,1,301510
"STK2358946",42,1,147000
"STK2371459",42,1,100000
"STK2372998",42,1,244300
"STK2385419",42,1,164000
"STK2384981",42,1,183000
"STK2384997",42,2,400600
"STK2388701",42,1,125500
"STK2384118",42,1,164850
"STK2386561",42,1,223600
"STK2114710",42,1,147000
"STK2367496",42,1,121030
"STK2368563",42,1,164850
"STK2365586",42,1,87500
"STK2361095",42,1,87000
"STK2302204",42,2,222300
"STK384722",42,1,93000
"STK935020",42,1,136430
"STK661673",81,2,322000
"STK2370493",42,1,121750
"STK2375501",42,1,171000
"STK2031411",42,1,175000
"STK648277",84,2,359600
"STK2375476",42,1,235100
"STK1484421",42,1,164800
"STK2368033",42,1,255493
"STK2357403",43,5,914850
"STK2371874",42,1,171500
"STK2376792",42,1,164850
"STK2217368",42,1,168000
"STK750146",42,1,139299
"STK2380068",42,1,164000
"STK2365134",42,1,160230
"STK1109943",42,1,290500
"STK2366553",42,1,164850
"STK1808457",42,1,146999
"STK2378464",42,1,122500
"STK2369512",42,2,425000
"STK2372661",42,1,238000
"STK2368358",42,1,155500
"STK2374247",42,1,117000
"STK2364578",42,1,161499
"STK2368693",42,1,164500
"STK983414",76,2,220580
"STK1837081",42,1,125930
"STK2068847",42,1,161200
"STK2390185",42,1,183855
"STK2381284",42,1,167604.04
"STK2384772",42,1,157750
"STK2381948",42,1,164500
"STK2374666",42,2,275470
"STK2383291",42,1,118999
"STK2379677",42,1,138810
"STK2372907",42,2,381307.72
"STK2377344",42,1,105000
"STK2372724",42,1,169000
"STK2366739",42,1,138810
"STK2359530",42,1,130000
