"CONTRACT_NO","BORROWER_ID","LOAN_NAME","LOAN_TYPE","PRINCIPAL_AMOUNT","DATE_OF_ISSUE","INTEREST_RATE","INTEREST_TYPE","LOAN_PERIOD","EMI_AMOUNT","MORTAGE_TYPE","MORTAGE_AMOUNT","NO_OF_DAYS_IN_ARREARS","LOAN_STATUS"
"MPMBA009507","STK2376004","MOTOR BICYCLE ","LEASING",164800,20-01-17,34.9,"EFFECTIVE_RATE",36,7446,"VEHICLE",235500,-150,"PERFORMING"
"RTMBA013155","STK2378236","MOTOR BICYCLE ","LEASING",413900,20-01-17,33.41,"EFFECTIVE_RATE",48,15735,"VEHICLE",605900,60,"PERFORMING"
"MOMBA007008","STK2380591","MOTOR BICYCLE ","LEASING",174965,25-01-17,40.26,"EFFECTIVE_RATE",36,8445,"VEHICLE",249950,253.5,"NPL"
"MHMBA009125","STK2362396","MOTOR BICYCLE ","LEASING",80600,01-01-17,28,"EFFECTIVE_RATE",18,5536,"VEHICLE",203875,30,"PERFORMING"
"AWMBA006643","STK2361983","MOTOR BICYCLE ","LEASING",176324,04-01-17,32,"EFFECTIVE_RATE",24,10042,"VEHICLE",260000,120,"PERFORMING"
"MPMBA008913","STK1492564","MOTOR BICYCLE ","LEASING",164800,02-01-17,43.34,"EFFECTIVE_RATE",24,10384,"VEHICLE",235500,-120,"PERFORMING"
"GNMBA014774","STK93759","MOTOR BICYCLE ","LEASING",122500,03-01-17,33.81,"EFFECTIVE_RATE",24,7092,"VEHICLE",180000,-90,"PERFORMING"
"NAMBA007688","STK1092136","MOTOR BICYCLE ","LEASING",114500,05-01-17,28,"EFFECTIVE_RATE",24,6285,"VEHICLE",169999,-30,"PERFORMING"
"KTMBA009101","STK2352423","MOTOR BICYCLE ","LEASING",140550,19-01-17,39.75,"EFFECTIVE_RATE",24,8581,"VEHICLE",240000,120,"PERFORMING"
"TRMBA010361","STK2370612","MOTOR BICYCLE ","LEASING",179999,11-01-17,41.44,"EFFECTIVE_RATE",24,11155,"VEHICLE",319999,-470.1,"PERFORMING"
"AGMBA005257","STK2371129","MOTOR BICYCLE ","LEASING",117850,13-01-17,38.92,"EFFECTIVE_RATE",30,6204,"VEHICLE",247850,180,"NPL"
"TRMBA010440","STK565451","MOTOR BICYCLE ","LEASING",163400,16-01-17,44.73,"EFFECTIVE_RATE",24,10420,"VEHICLE",235500,-30,"PERFORMING"
"POMBA010343","STK2372733","MOTOR BICYCLE ","LEASING",274042,17-01-17,30.16,"EFFECTIVE_RATE",36,11658,"VEHICLE",415000,-90,"PERFORMING"
"EMMBA015436","STK2365212","MOTOR BICYCLE ","LEASING",138150,04-01-17,28,"EFFECTIVE_RATE",36,5715,"VEHICLE",235500,-30,"PERFORMING"
"CGMBA016851","STK2365192","MOTOR BICYCLE ","LEASING",147600,03-01-17,37.5,"EFFECTIVE_RATE",36,6888,"VEHICLE",210900,30,"PERFORMING"
"BTMBA014589","STK2365436","MOTOR BICYCLE ","LEASING",129000,05-01-17,49.36,"EFFECTIVE_RATE",24,8560,"VEHICLE",235500,-60,"PERFORMING"
"BMMBA011759","STK2366063","MOTOR BICYCLE ","LEASING",283850,04-01-17,33.57,"EFFECTIVE_RATE",48,10818,"VEHICLE",405500,28.8,"PERFORMING"
"NCMBA005288","STK2358930","MOTOR BICYCLE ","LEASING",57000,09-01-17,108.03,"EFFECTIVE_RATE",12,7962,"VEHICLE",235500,0,"PERFORMING"
"KRMBA009569","STK2366617","MOTOR BICYCLE ","LEASING",173495,05-01-17,40.17,"EFFECTIVE_RATE",36,8365,"VEHICLE",247850,-180,"PERFORMING"
"CGMBA017179","STK2367840","MOTOR BICYCLE ","LEASING",102000,09-01-17,67.51,"EFFECTIVE_RATE",12,11918,"VEHICLE",235500,-30,"PERFORMING"
"KRMBA009699","STK2368759","MOTOR BICYCLE ","LEASING",88000,10-01-17,49.27,"EFFECTIVE_RATE",36,4723,"VEHICLE",235500,-30,"PERFORMING"
"PLMBA014686","STK2369629","MOTOR BICYCLE ","LEASING",300000,10-01-17,35.03,"EFFECTIVE_RATE",36,13576,"VEHICLE",535000,233.1,"NPL"
"NDMBA012271","STK2281291","MOTOR BICYCLE ","LEASING",154000,13-01-17,31.73,"EFFECTIVE_RATE",24,8749,"VEHICLE",220000,0,"PERFORMING"
"HGMBA011564","STK2371438","MOTOR BICYCLE ","LEASING",146000,26-01-17,42.74,"EFFECTIVE_RATE",30,8000,"VEHICLE",244500,-180,"PERFORMING"
"POMBA010255","STK2370513","MOTOR BICYCLE ","LEASING",147480,16-01-17,39.71,"EFFECTIVE_RATE",36,7071,"VEHICLE",213800,143.1,"PERFORMING"
"PGMBA010927","STK2372184","MOTOR BICYCLE ","LEASING",162400,13-01-17,40.8,"EFFECTIVE_RATE",36,7890,"VEHICLE",235500,-150,"PERFORMING"
"CWMBA010006","STK1449304","MOTOR BICYCLE ","LEASING",138800,16-01-17,40.21,"EFFECTIVE_RATE",36,6695,"VEHICLE",198300,0,"PERFORMING"
"PGMBA011023","STK2374101","MOTOR BICYCLE ","LEASING",157400,17-01-17,61.19,"EFFECTIVE_RATE",12,17859,"VEHICLE",235500,-60,"PERFORMING"
"MTMBA010963","STK2374427","MOTOR BICYCLE ","LEASING",173495,19-01-17,40.09,"EFFECTIVE_RATE",36,8356,"VEHICLE",247850,199.2,"NPL"
