"CONTRACT_NO","BORROWER_ID","LOAN_NAME","LOAN_TYPE","PRINCIPAL_AMOUNT","DATE_OF_ISSUE","INTEREST_RATE","INTEREST_TYPE","LOAN_PERIOD","EMI_AMOUNT","MORTAGE_TYPE","MORTAGE_AMOUNT","NO_OF_DAYS_IN_ARREARS","LOAN_STATUS"
"TDMBA004816","STK2388702","MOTOR BICYCLE ","LEASING",157350,31-01-17,37.59,"EFFECTIVE_RATE",36,7351,"VEHICLE",247850,0,"PERFORMING"
"PMMBA002041","STK2386239","MOTOR BICYCLE ","LEASING",135000,30-01-17,30,"EFFECTIVE_RATE",24,7549,"VEHICLE",225000,-390,"PERFORMING"
"WYMBA004939","STK1674076","MOTOR BICYCLE ","LEASING",95000,31-01-17,33.96,"EFFECTIVE_RATE",24,5508,"VEHICLE",160000,-30,"PERFORMING"
"NTMBA008531","STK1660531","MOTOR BICYCLE ","LEASING",122430,31-01-17,42.38,"EFFECTIVE_RATE",36,6062,"VEHICLE",174900,207,"NPL"
"KRMBA010149","STK990834","MOTOR BICYCLE ","LEASING",183855,25-01-17,44.65,"EFFECTIVE_RATE",24,11717,"VEHICLE",262650,0,"PERFORMING"
"NGMBA015834","STK2087279","MOTOR BICYCLE ","LEASING",164800,27-01-17,40.43,"EFFECTIVE_RATE",36,7970,"VEHICLE",235500,-30,"PERFORMING"
"APMBA013252","STK2386982","MOTOR BICYCLE ","LEASING",227570,30-01-17,38.64,"EFFECTIVE_RATE",36,10769,"VEHICLE",325100,-60,"PERFORMING"
"KUMBA022560","STK2387169","MOTOR BICYCLE ","LEASING",226600,31-01-17,42.31,"EFFECTIVE_RATE",18,17217,"VEHICLE",325100,0,"PERFORMING"
"JEMBA010033","STK1540939","MOTOR BICYCLE ","LEASING",269500,31-01-17,51.52,"EFFECTIVE_RATE",12,29207,"VEHICLE",415000,-30,"PERFORMING"
"WPMBA007343","STK2388625","MOTOR BICYCLE ","LEASING",227570,31-01-17,39.47,"EFFECTIVE_RATE",36,10879,"VEHICLE",325100,60,"PERFORMING"
"MHMBA010121","STK2356933","MOTOR BICYCLE ","LEASING",234500,31-01-17,39.99,"EFFECTIVE_RATE",36,11281,"VEHICLE",335000,-60,"PERFORMING"
"KTMBA009217","STK2383037","MOTOR BICYCLE ","LEASING",255493,26-01-17,29.41,"EFFECTIVE_RATE",24,14208,"VEHICLE",364990,-147,"PERFORMING"
"JFMBA009101","STK2386674","MOTOR BICYCLE ","LEASING",199921,30-01-17,28,"EFFECTIVE_RATE",18,13730,"VEHICLE",415000,-144.9,"PERFORMING"
"WRMBA004649","STK2387183","MOTOR BICYCLE ","LEASING",96800,31-01-17,59.39,"EFFECTIVE_RATE",12,10891,"VEHICLE",227500,-30,"PERFORMING"
"ARMBA014066","STK2386969","MOTOR BICYCLE ","LEASING",113700,31-01-17,28,"EFFECTIVE_RATE",24,6241,"VEHICLE",235500,-90,"PERFORMING"
"CWMBA010370","STK2382020","MOTOR BICYCLE ","LEASING",170500,26-01-17,40.69,"EFFECTIVE_RATE",36,8272,"VEHICLE",244500,-150,"PERFORMING"
"NGMBA015889","STK2382902","MOTOR BICYCLE ","LEASING",228000,30-01-17,43.29,"EFFECTIVE_RATE",24,14359,"VEHICLE",415000,-60,"PERFORMING"
"HRMBA007978","STK1531961","MOTOR BICYCLE ","LEASING",171000,31-01-17,40.46,"EFFECTIVE_RATE",36,8273,"VEHICLE",244500,-30,"PERFORMING"
"MPMBA009590","STK2379193","MOTOR BICYCLE ","LEASING",164800,25-01-17,38.4,"EFFECTIVE_RATE",36,7776,"VEHICLE",235500,-486.3,"PERFORMING"
"KBMBA013571","STK2382818","MOTOR BICYCLE ","LEASING",164500,27-01-17,37.07,"EFFECTIVE_RATE",36,7636,"VEHICLE",235500,0,"PERFORMING"
"BMMBA012758","STK2384318","MOTOR BICYCLE ","LEASING",164850,27-01-17,37.19,"EFFECTIVE_RATE",36,7663,"VEHICLE",235500,177.9,"PERFORMING"
"BMMBA012767","STK2384395","MOTOR BICYCLE ","LEASING",148700,27-01-17,32.76,"EFFECTIVE_RATE",48,5596,"VEHICLE",235500,50.7,"PERFORMING"
"EMMBA016408","STK877637","MOTOR BICYCLE ","LEASING",122500,31-01-17,37.3,"EFFECTIVE_RATE",36,5703,"VEHICLE",175000,762.3,"NPL"
"PGMBA011324","STK2387480","MOTOR BICYCLE ","LEASING",122500,30-01-17,42.39,"EFFECTIVE_RATE",24,7655,"VEHICLE",175000,30,"PERFORMING"
"BDMBA009040","STK2389630","MOTOR BICYCLE ","LEASING",202950,31-01-17,40.09,"EFFECTIVE_RATE",36,9775,"VEHICLE",289950,0,"PERFORMING"
"HMMBA010644","STK2389832","MOTOR BICYCLE ","LEASING",154250,31-01-17,42.05,"EFFECTIVE_RATE",36,7607,"VEHICLE",227500,-330,"PERFORMING"
"JFMBA008913","STK2381284","MOTOR BICYCLE ","LEASING",167604.04,25-01-17,28,"EFFECTIVE_RATE",12,16175,"VEHICLE",238900,60,"PERFORMING"
"MGMBA019201","STK2381820","MOTOR BICYCLE ","LEASING",290500,25-01-17,36.53,"EFFECTIVE_RATE",36,13394,"VEHICLE",415000,201.3,"NPL"
"BTMBA015685","STK2384195","MOTOR BICYCLE ","LEASING",249900,27-01-17,43.69,"EFFECTIVE_RATE",12,26076,"VEHICLE",439900,150,"PERFORMING"
"GPMBA016587","STK2236000","MOTOR BICYCLE ","LEASING",175000,31-01-17,36.27,"EFFECTIVE_RATE",36,8043,"VEHICLE",280000,-30,"PERFORMING"
"KRMBA010130","STK2381672","MOTOR BICYCLE ","LEASING",173495,25-01-17,44.93,"EFFECTIVE_RATE",24,11083,"VEHICLE",247850,-180,"PERFORMING"
"WTMBA013854","STK1652525","MOTOR BICYCLE ","LEASING",166200,26-01-17,35.83,"EFFECTIVE_RATE",36,7597,"VEHICLE",261700,-476.4,"PERFORMING"
"PGMBA011333","STK2386413","MOTOR BICYCLE ","LEASING",122500,30-01-17,42.39,"EFFECTIVE_RATE",24,7655,"VEHICLE",175000,500.4,"NPL"
"ARMBA014075","STK324836","MOTOR BICYCLE ","LEASING",164850,31-01-17,40.17,"EFFECTIVE_RATE",36,7948,"VEHICLE",235500,0,"PERFORMING"
"NGMBA016073","STK136411","MOTOR BICYCLE ","LEASING",167230,31-01-17,28.11,"EFFECTIVE_RATE",36,6928,"VEHICLE",238900,-30,"PERFORMING"
"KRMBA010486","STK2388736","MOTOR BICYCLE ","LEASING",138000,31-01-17,42.07,"EFFECTIVE_RATE",36,6807,"VEHICLE",235500,-120,"PERFORMING"
"MGMBA019690","STK2031538","MOTOR BICYCLE ","LEASING",307650,31-01-17,35.33,"EFFECTIVE_RATE",36,13975,"VEHICLE",439500,-30,"PERFORMING"
"KKMBA006773","STK2388013","MOTOR BICYCLE ","LEASING",99500,31-01-17,67.93,"EFFECTIVE_RATE",12,11649,"VEHICLE",148000,-90,"PERFORMING"
"AKMBA004489","STK2032468","MOTOR BICYCLE ","LEASING",129350,31-01-17,40.26,"EFFECTIVE_RATE",24,7933,"VEHICLE",240000,0,"PERFORMING"
"KDMBA023532","STK2379903","MOTOR BICYCLE ","LEASING",103446,24-01-17,28,"EFFECTIVE_RATE",24,5678,"VEHICLE",158000,0,"PERFORMING"
"BLMBA009347","STK2381789","MOTOR BICYCLE ","LEASING",117600,26-01-17,43.76,"EFFECTIVE_RATE",36,5919,"VEHICLE",168000,-360,"PERFORMING"
"BMMBA012642","STK2381923","MOTOR BICYCLE ","LEASING",164850,25-01-17,34.74,"EFFECTIVE_RATE",48,6399,"VEHICLE",235500,-1006.5,"PERFORMING"
"RTMBA013474","STK332169","MOTOR BICYCLE ","LEASING",167230,25-01-17,40.48,"EFFECTIVE_RATE",36,8093,"VEHICLE",238900,-730.2,"PERFORMING"
"CGMBA018673","STK2385419","MOTOR BICYCLE ","LEASING",164000,30-01-17,42.18,"EFFECTIVE_RATE",24,10229,"VEHICLE",235500,0,"PERFORMING"
"NGMBA016055","STK2388714","MOTOR BICYCLE ","LEASING",184600,31-01-17,38.79,"EFFECTIVE_RATE",36,8752,"VEHICLE",325100,-30,"PERFORMING"
"ANMBA009064","STK2379814","MOTOR BICYCLE ","LEASING",149660,26-01-17,46.21,"EFFECTIVE_RATE",24,9667,"VEHICLE",213800,-30,"PERFORMING"
"MNMBA008906","STK2381047","MOTOR BICYCLE ","LEASING",122500,30-01-17,47.49,"EFFECTIVE_RATE",24,8000,"VEHICLE",175000,0,"PERFORMING"
"THMBA006704","STK2384366","MOTOR BICYCLE ","LEASING",105000,30-01-17,38.24,"EFFECTIVE_RATE",24,6326,"VEHICLE",175000,-30,"PERFORMING"
"GWMBA010103","STK2384772","MOTOR BICYCLE ","LEASING",157750,28-01-17,28,"EFFECTIVE_RATE",24,8659,"VEHICLE",235500,-463.5,"PERFORMING"
"MPMBA009798","STK2385009","MOTOR BICYCLE ","LEASING",156500,28-01-17,25,"EFFECTIVE_RATE",24,8353,"VEHICLE",235500,-30,"PERFORMING"
"KOMBA002560","STK2386736","MOTOR BICYCLE ","LEASING",125550,30-01-17,36.11,"EFFECTIVE_RATE",36,5759,"VEHICLE",305000,0,"PERFORMING"
"PLMBA015542","STK2386635","MOTOR BICYCLE ","LEASING",154000,30-01-17,36.27,"EFFECTIVE_RATE",42,6523,"VEHICLE",227500,-26.1,"PERFORMING"
"KGMBA007374","STK2380694","MOTOR BICYCLE ","LEASING",103600,24-01-17,30.27,"EFFECTIVE_RATE",36,4414,"VEHICLE",148000,471.3,"NPL"
"CGMBA018497","STK2381944","MOTOR BICYCLE ","LEASING",164000,27-01-17,37.26,"EFFECTIVE_RATE",36,7630,"VEHICLE",235500,150,"PERFORMING"
"HTMBA005332","STK2383210","MOTOR BICYCLE ","LEASING",135500,27-01-17,28,"EFFECTIVE_RATE",24,7438,"VEHICLE",235500,30,"PERFORMING"
"DKMBA009644","STK1291220","MOTOR BICYCLE ","LEASING",122500,30-01-17,38.36,"EFFECTIVE_RATE",36,5777,"VEHICLE",175000,150.9,"PERFORMING"
"KDMBA024416","STK2276917","MOTOR BICYCLE ","LEASING",103600,31-01-17,48.38,"EFFECTIVE_RATE",24,6817,"VEHICLE",148000,0,"PERFORMING"
"NKMBA012590","STK2386797","MOTOR BICYCLE ","LEASING",164850,31-01-17,36.48,"EFFECTIVE_RATE",36,7596,"VEHICLE",235500,0,"PERFORMING"
"BTMBA015588","STK2381948","MOTOR BICYCLE ","LEASING",164500,25-01-17,59.56,"EFFECTIVE_RATE",12,18522,"VEHICLE",235500,0,"PERFORMING"
"CGMBA018424","STK2379882","MOTOR BICYCLE ","LEASING",169000,26-01-17,38.23,"EFFECTIVE_RATE",36,7957,"VEHICLE",241500,-587.1,"PERFORMING"
"NTMBA008289","STK2382291","MOTOR BICYCLE ","LEASING",167930,27-01-17,43.95,"EFFECTIVE_RATE",24,10637,"VEHICLE",239900,0,"PERFORMING"
"JEMBA009941","STK2135744","MOTOR BICYCLE ","LEASING",148750,26-01-17,40.59,"EFFECTIVE_RATE",24,9150,"VEHICLE",212500,0,"PERFORMING"
"WTMBA014039","STK1552191","MOTOR BICYCLE ","LEASING",295000,31-01-17,34.84,"EFFECTIVE_RATE",36,13318,"VEHICLE",429300,-86.4,"PERFORMING"
"PLMBA015685","STK2387155","MOTOR BICYCLE ","LEASING",278600,31-01-17,37.57,"EFFECTIVE_RATE",24,16684,"VEHICLE",439500,30,"PERFORMING"
"NKMBA012262","STK2382451","MOTOR BICYCLE ","LEASING",283850,26-01-17,36.17,"EFFECTIVE_RATE",36,13029,"VEHICLE",405500,979.2,"NPL"
"NYMBA008661","STK1552998","MOTOR BICYCLE ","LEASING",160000,27-01-17,36.59,"EFFECTIVE_RATE",24,9498,"VEHICLE",240000,770.1,"NPL"
"TBMBA012156","STK2385006","MOTOR BICYCLE ","LEASING",219000,29-01-17,38.56,"EFFECTIVE_RATE",36,10353,"VEHICLE",313250,0,"PERFORMING"
"THMBA006674","STK1322539","MOTOR BICYCLE ","LEASING",167930,30-01-17,39.27,"EFFECTIVE_RATE",36,8008,"VEHICLE",239900,266.1,"NPL"
"WLMBA006209","STK2383382","MOTOR BICYCLE ","LEASING",174950,27-01-17,40.28,"EFFECTIVE_RATE",36,8446,"VEHICLE",249950,-90,"PERFORMING"
"MGMBA019487","STK2385565","MOTOR BICYCLE ","LEASING",150850,30-01-17,56.6,"EFFECTIVE_RATE",12,16749,"VEHICLE",215500,-30,"PERFORMING"
"TBMBA012095","STK2383826","MOTOR BICYCLE ","LEASING",149000,27-01-17,43.61,"EFFECTIVE_RATE",36,7486,"VEHICLE",213800,288.6,"NPL"
"BMMBA012855","STK2386742","MOTOR BICYCLE ","LEASING",164850,30-01-17,37.34,"EFFECTIVE_RATE",36,7678,"VEHICLE",235500,-150,"PERFORMING"
"CWMBA010334","STK2380955","MOTOR BICYCLE ","LEASING",164500,25-01-17,50.77,"EFFECTIVE_RATE",18,13240,"VEHICLE",235500,150,"PERFORMING"
"JEMBA009880","STK2381440","MOTOR BICYCLE ","LEASING",290500,25-01-17,36.85,"EFFECTIVE_RATE",36,13448,"VEHICLE",415000,-30,"PERFORMING"
"BTMBA015676","STK2201004","MOTOR BICYCLE ","LEASING",143499,27-01-17,41.11,"EFFECTIVE_RATE",24,8867,"VEHICLE",204999,-332.4,"PERFORMING"
"TDMBA004717","STK41161","MOTOR BICYCLE ","LEASING",307900,25-01-17,38.54,"EFFECTIVE_RATE",30,16142,"VEHICLE",439900,-60,"PERFORMING"
"NGMBA015825","STK2383508","MOTOR BICYCLE ","LEASING",164800,27-01-17,50.1,"EFFECTIVE_RATE",18,13204,"VEHICLE",235500,0,"PERFORMING"
"BLMBA009453","STK2383400","MOTOR BICYCLE ","LEASING",99500,30-01-17,45.31,"EFFECTIVE_RATE",24,6377,"VEHICLE",168000,230.7,"NPL"
"CWMBA010529","STK2384236","MOTOR BICYCLE ","LEASING",161700,31-01-17,38.32,"EFFECTIVE_RATE",30,8458,"VEHICLE",235500,-210,"PERFORMING"
"MRMBA010565","STK2387348","MOTOR BICYCLE ","LEASING",122430,30-01-17,41.13,"EFFECTIVE_RATE",36,5972,"VEHICLE",174900,270,"NPL"
"MGMBA019469","STK1930686","MOTOR BICYCLE ","LEASING",164850,30-01-17,38.09,"EFFECTIVE_RATE",36,7749,"VEHICLE",235500,30,"PERFORMING"
"WYMBA004861","STK2368846","MOTOR BICYCLE ","LEASING",164850,28-01-17,38.85,"EFFECTIVE_RATE",24,9985,"VEHICLE",235500,-30,"PERFORMING"
"MTMBA011388","STK2382808","MOTOR BICYCLE ","LEASING",216000,30-01-17,35.46,"EFFECTIVE_RATE",36,9828,"VEHICLE",360000,-278.1,"PERFORMING"
"GWMBA010307","STK2387122","MOTOR BICYCLE ","LEASING",150000,31-01-17,30.67,"EFFECTIVE_RATE",36,6423,"VEHICLE",260000,-60,"PERFORMING"
"PTMBA007534","STK2387037","MOTOR BICYCLE ","LEASING",164800,31-01-17,37.33,"EFFECTIVE_RATE",36,7674,"VEHICLE",235500,273.9,"NPL"
"KBMBA013386","STK2382070","MOTOR BICYCLE ","LEASING",164500,25-01-17,40.5,"EFFECTIVE_RATE",36,7963,"VEHICLE",235500,-300,"PERFORMING"
"WRMBA004595","STK2383329","MOTOR BICYCLE ","LEASING",183190,27-01-17,39.33,"EFFECTIVE_RATE",36,8742,"VEHICLE",261700,0,"PERFORMING"
"WRMBA004632","STK2386825","MOTOR BICYCLE ","LEASING",283350,30-01-17,38.71,"EFFECTIVE_RATE",36,13420,"VEHICLE",431850,-683.7,"PERFORMING"
"WYMBA004922","STK1686417","MOTOR BICYCLE ","LEASING",164850,31-01-17,33.67,"EFFECTIVE_RATE",36,7334,"VEHICLE",235500,-390,"PERFORMING"
"MHMBA009965","STK1245059","MOTOR BICYCLE ","LEASING",118990,26-01-17,42.9,"EFFECTIVE_RATE",36,5928,"VEHICLE",169999,198.6,"NPL"
"BKMBA005592","STK2376175","MOTOR BICYCLE ","LEASING",155450,28-01-17,54.83,"EFFECTIVE_RATE",18,12855,"VEHICLE",249950,0,"PERFORMING"
"BKMBA005561","STK2378766","MOTOR BICYCLE ","LEASING",174950,26-01-17,31.3,"EFFECTIVE_RATE",36,7553,"VEHICLE",249950,-60,"PERFORMING"
"CWMBA010538","STK2383980","MOTOR BICYCLE ","LEASING",100000,31-01-17,32,"EFFECTIVE_RATE",12,9848,"VEHICLE",200000,0,"PERFORMING"
"GNMBA016019","STK2384873","MOTOR BICYCLE ","LEASING",134299,30-01-17,31.83,"EFFECTIVE_RATE",36,5837,"VEHICLE",204999,0,"PERFORMING"
"MGMBA019618","STK2386513","MOTOR BICYCLE ","LEASING",148750,31-01-17,27.38,"EFFECTIVE_RATE",24,8118,"VEHICLE",212500,-509.1,"PERFORMING"
"EMMBA016417","STK2386073","MOTOR BICYCLE ","LEASING",122500,31-01-17,37.3,"EFFECTIVE_RATE",36,5703,"VEHICLE",175000,630.6,"NPL"
"KTMBA009286","STK2362602","MOTOR BICYCLE ","LEASING",118999,30-01-17,40.13,"EFFECTIVE_RATE",36,5735,"VEHICLE",169999,-90,"PERFORMING"
"NGMBA016064","STK2388793","MOTOR BICYCLE ","LEASING",167230,31-01-17,45.28,"EFFECTIVE_RATE",24,10716,"VEHICLE",238900,-30,"PERFORMING"
"WPMBA007404","STK1547217","MOTOR BICYCLE ","LEASING",60000,31-01-17,38.99,"EFFECTIVE_RATE",24,3639,"VEHICLE",120000,0,"PERFORMING"
"PLMBA015384","STK2381152","MOTOR BICYCLE ","LEASING",164850,25-01-17,36.46,"EFFECTIVE_RATE",36,7595,"VEHICLE",235500,-60,"PERFORMING"
"BLMBA009330","STK2381799","MOTOR BICYCLE ","LEASING",61600,26-01-17,60.72,"EFFECTIVE_RATE",24,4491,"VEHICLE",88000,-30,"PERFORMING"
"NAMBA008173","STK2382823","MOTOR BICYCLE ","LEASING",122500,26-01-17,41.56,"EFFECTIVE_RATE",36,6006,"VEHICLE",175000,-30,"PERFORMING"
"MOMBA007138","STK2385958","MOTOR BICYCLE ","LEASING",158830,31-01-17,38.41,"EFFECTIVE_RATE",36,7495,"VEHICLE",226900,-150,"PERFORMING"
"NKMBA012554","STK2387889","MOTOR BICYCLE ","LEASING",95900,31-01-17,43.22,"EFFECTIVE_RATE",12,9984,"VEHICLE",235500,60,"PERFORMING"
"BBMBA005073","STK2386412","MOTOR BICYCLE ","LEASING",137000,31-01-17,45.05,"EFFECTIVE_RATE",24,8761,"VEHICLE",235500,-90,"PERFORMING"
"AVMBA011148","STK2384453","MOTOR BICYCLE ","LEASING",164850,30-01-17,39.45,"EFFECTIVE_RATE",36,7879,"VEHICLE",235500,-449.1,"PERFORMING"
"MTMBA011397","STK2368189","MOTOR BICYCLE ","LEASING",138000,30-01-17,35.73,"EFFECTIVE_RATE",36,6300,"VEHICLE",230000,0,"PERFORMING"
"APMBA013270","STK2386914","MOTOR BICYCLE ","LEASING",138310,30-01-17,40.79,"EFFECTIVE_RATE",36,6719,"VEHICLE",198300,-90,"PERFORMING"
"HGMBA011616","STK2384054","MOTOR BICYCLE ","LEASING",108400,31-01-17,37.11,"EFFECTIVE_RATE",36,5034,"VEHICLE",168000,-30,"PERFORMING"
"BTMBA015658","STK2383059","MOTOR BICYCLE ","LEASING",145500,26-01-17,53.33,"EFFECTIVE_RATE",12,15906,"VEHICLE",235500,-60,"PERFORMING"
"MGMBA019496","STK2384727","MOTOR BICYCLE ","LEASING",164850,30-01-17,26.36,"EFFECTIVE_RATE",24,8912,"VEHICLE",235500,-30,"PERFORMING"
"KRMBA010477","STK2368951","MOTOR BICYCLE ","LEASING",138000,31-01-17,65.07,"EFFECTIVE_RATE",12,15944,"VEHICLE",235500,-60,"PERFORMING"
"ANMBA009439","STK2386548","MOTOR BICYCLE ","LEASING",136000,31-01-17,43.22,"EFFECTIVE_RATE",36,6801,"VEHICLE",244500,-781.8,"PERFORMING"
"PTMBA007527","STK2019246","MOTOR BICYCLE ","LEASING",290500,30-01-17,37.72,"EFFECTIVE_RATE",36,13593,"VEHICLE",415000,0,"PERFORMING"
"GNMBA015968","STK1106015","MOTOR BICYCLE ","LEASING",122150,30-01-17,38.44,"EFFECTIVE_RATE",36,5766,"VEHICLE",174500,-30,"PERFORMING"
"BTMBA015825","STK2389699","MOTOR BICYCLE ","LEASING",183000,31-01-17,40.16,"EFFECTIVE_RATE",36,8822,"VEHICLE",263500,0,"PERFORMING"
"NGMBA015649","STK2381968","MOTOR BICYCLE ","LEASING",137000,25-01-17,48.13,"EFFECTIVE_RATE",24,8996,"VEHICLE",235500,0,"PERFORMING"
"MPMBA009774","STK2382852","MOTOR BICYCLE ","LEASING",164800,28-01-17,38.4,"EFFECTIVE_RATE",36,7776,"VEHICLE",235500,30,"PERFORMING"
"BTMBA015694","STK2384417","MOTOR BICYCLE ","LEASING",227570,27-01-17,43.49,"EFFECTIVE_RATE",24,14357,"VEHICLE",325100,-30,"PERFORMING"
"MGMBA019414","STK2384449","MOTOR BICYCLE ","LEASING",164850,30-01-17,38.09,"EFFECTIVE_RATE",36,7749,"VEHICLE",235500,0,"PERFORMING"
"MPMBA009750","STK2382087","MOTOR BICYCLE ","LEASING",138800,28-01-17,37.54,"EFFECTIVE_RATE",36,6480,"VEHICLE",198300,-30,"PERFORMING"
"MHMBA010060","STK2384982","MOTOR BICYCLE ","LEASING",84900,31-01-17,28,"EFFECTIVE_RATE",24,4661,"VEHICLE",168000,-90,"PERFORMING"
"KBMBA013456","STK2381281","MOTOR BICYCLE ","LEASING",164500,26-01-17,37.07,"EFFECTIVE_RATE",36,7636,"VEHICLE",235500,-30,"PERFORMING"
"NAMBA008197","STK2382763","MOTOR BICYCLE ","LEASING",98630,26-01-17,43.74,"EFFECTIVE_RATE",36,4963,"VEHICLE",140900,-30,"PERFORMING"
"DKMBA009637","STK2386317","MOTOR BICYCLE ","LEASING",122500,30-01-17,43.39,"EFFECTIVE_RATE",36,6139,"VEHICLE",175000,179.7,"PERFORMING"
"NPMBA005097","STK2384796","MOTOR BICYCLE ","LEASING",145000,30-01-17,39.84,"EFFECTIVE_RATE",30,7708,"VEHICLE",235500,-90,"PERFORMING"
"BMMBA012828","STK2386675","MOTOR BICYCLE ","LEASING",164850,30-01-17,37.19,"EFFECTIVE_RATE",36,7663,"VEHICLE",235500,149.4,"PERFORMING"
"MGMBA019593","STK2387031","MOTOR BICYCLE ","LEASING",167230,31-01-17,34.58,"EFFECTIVE_RATE",48,6475,"VEHICLE",238900,149.4,"PERFORMING"
"ANMBA009149","STK2382177","MOTOR BICYCLE ","LEASING",139510,31-01-17,40.96,"EFFECTIVE_RATE",36,6791,"VEHICLE",199300,-458.7,"PERFORMING"
"BMMBA012934","STK2389097","MOTOR BICYCLE ","LEASING",159599,31-01-17,42.36,"EFFECTIVE_RATE",24,9971,"VEHICLE",227999,-30,"PERFORMING"
"VWMBA009392","STK2384490","MOTOR BICYCLE ","LEASING",127000,31-01-17,64.11,"EFFECTIVE_RATE",12,14607,"VEHICLE",235500,0,"PERFORMING"
"NGMBA015782","STK2383499","MOTOR BICYCLE ","LEASING",164800,27-01-17,45.29,"EFFECTIVE_RATE",24,10561,"VEHICLE",235500,461.4,"NPL"
"CGMBA018798","STK2384696","MOTOR BICYCLE ","LEASING",340000,31-01-17,28,"EFFECTIVE_RATE",36,14064,"VEHICLE",490000,-60,"PERFORMING"
"HMMBA010626","STK2387563","MOTOR BICYCLE ","LEASING",114000,31-01-17,39.08,"EFFECTIVE_RATE",24,6919,"VEHICLE",190000,30,"PERFORMING"
"WRMBA004717","STK2387849","MOTOR BICYCLE ","LEASING",139930,31-01-17,40.94,"EFFECTIVE_RATE",36,6810,"VEHICLE",199900,194.4,"NPL"
"BTMBA015649","STK2382379","MOTOR BICYCLE ","LEASING",164500,26-01-17,45.37,"EFFECTIVE_RATE",24,10549,"VEHICLE",235500,-30,"PERFORMING"
"GNMBA015913","STK2382529","MOTOR BICYCLE ","LEASING",146550,27-01-17,35.17,"EFFECTIVE_RATE",24,8590,"VEHICLE",275000,-1.2,"PERFORMING"
"KGMBA007411","STK2382754","MOTOR BICYCLE ","LEASING",238000,26-01-17,41.47,"EFFECTIVE_RATE",36,11656,"VEHICLE",340000,0,"PERFORMING"
"ARMBA013696","STK2375267","MOTOR BICYCLE ","LEASING",234500,26-01-17,43.58,"EFFECTIVE_RATE",24,14806,"VEHICLE",335000,0,"PERFORMING"
"PDMBA005790","STK1790553","MOTOR BICYCLE ","LEASING",143499,26-01-17,42.74,"EFFECTIVE_RATE",36,7136,"VEHICLE",204999,-12.6,"PERFORMING"
"KTMBA009248","STK2374666","MOTOR BICYCLE ","LEASING",101520,27-01-17,26,"EFFECTIVE_RATE",24,5470,"VEHICLE",235500,30,"PERFORMING"
"GNMBA016028","STK2383848","MOTOR BICYCLE ","LEASING",159250,30-01-17,36.58,"EFFECTIVE_RATE",36,7347,"VEHICLE",227500,160.2,"PERFORMING"
"POMBA010723","STK2385003","MOTOR BICYCLE ","LEASING",155000,30-01-17,46.32,"EFFECTIVE_RATE",18,12106,"VEHICLE",235500,-30,"PERFORMING"
"PLMBA015719","STK2387204","MOTOR BICYCLE ","LEASING",148750,31-01-17,40.32,"EFFECTIVE_RATE",36,7185,"VEHICLE",212500,0,"PERFORMING"
"ARMBA014084","STK2386680","MOTOR BICYCLE ","LEASING",164850,31-01-17,40.17,"EFFECTIVE_RATE",36,7948,"VEHICLE",235500,0,"PERFORMING"
"CWMBA010574","STK714073","MOTOR BICYCLE ","LEASING",164500,31-01-17,36.83,"EFFECTIVE_RATE",36,7613,"VEHICLE",235500,154.8,"PERFORMING"
"WPMBA007428","STK2365788","MOTOR BICYCLE ","LEASING",174965,31-01-17,40.29,"EFFECTIVE_RATE",36,8448,"VEHICLE",249950,291.9,"NPL"
"MPMBA009682","STK2379172","MOTOR BICYCLE ","LEASING",183190,26-01-17,36.46,"EFFECTIVE_RATE",36,8439,"VEHICLE",261700,-30,"PERFORMING"
"KBMBA013599","STK2382340","MOTOR BICYCLE ","LEASING",148750,28-01-17,41.23,"EFFECTIVE_RATE",36,7264,"VEHICLE",212500,-60,"PERFORMING"
"PDMBA005813","STK2383048","MOTOR BICYCLE ","LEASING",159000,26-01-17,41.88,"EFFECTIVE_RATE",36,7825,"VEHICLE",227500,0,"PERFORMING"
"MPMBA009743","STK2381907","MOTOR BICYCLE ","LEASING",226600,27-01-17,34.86,"EFFECTIVE_RATE",48,8812,"VEHICLE",325100,0,"PERFORMING"
"NPMBA005080","STK137002","MOTOR BICYCLE ","LEASING",192150,27-01-17,38.96,"EFFECTIVE_RATE",36,9129,"VEHICLE",274500,-170.4,"PERFORMING"
"NKMBA012332","STK2385444","MOTOR BICYCLE ","LEASING",127000,30-01-17,34.69,"EFFECTIVE_RATE",24,7412,"VEHICLE",238900,-30,"PERFORMING"
"MWMBA015481","STK2387683","MOTOR BICYCLE ","LEASING",182000,31-01-17,36.48,"EFFECTIVE_RATE",36,8387,"VEHICLE",260000,216.3,"NPL"
"GWMBA010015","STK2380993","MOTOR BICYCLE ","LEASING",89400,25-01-17,43.25,"EFFECTIVE_RATE",30,4925,"VEHICLE",235500,-466.2,"PERFORMING"
"DMMBA006728","STK2371895","MOTOR BICYCLE ","LEASING",202950,26-01-17,42.19,"EFFECTIVE_RATE",24,12660,"VEHICLE",289950,-30,"PERFORMING"
"CGMBA018530","STK2381944","MOTOR BICYCLE ","LEASING",164000,28-01-17,37.26,"EFFECTIVE_RATE",36,7630,"VEHICLE",235500,150,"PERFORMING"
"HTMBA005431","STK2384913","MOTOR BICYCLE ","LEASING",253990,27-01-17,32.99,"EFFECTIVE_RATE",48,9593,"VEHICLE",364990,-813.6,"PERFORMING"
