date,team_1,team_2,inverted_teams,match_id,event_id,best_of,system,t1_removed_1,t1_removed_2,t1_removed_3,t2_removed_1,t2_removed_2,t2_removed_3,t1_picked_1,t2_picked_1,left_over,t1_map1_wr,t1_map2_wr,t1_map3_wr,t2_map1_wr,t2_map2_wr,t2_map3_wr
2020-03-08,Movistar Riders,BIG,1,2340181,5135,3,123412,Dust2,Vertigo,0.0,Train,Nuke,0.0,Overpass,Mirage,Inferno,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-08,Nordavind,Dignitas,1,2340184,5135,3,123412,Train,Vertigo,0.0,Mirage,Overpass,0.0,Dust2,Nuke,Inferno,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-08,Divine,Yeah,0,2340178,5178,3,123412,Train,Overpass,0.0,Vertigo,Mirage,0.0,Inferno,Nuke,Dust2,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-08,Copenhagen Flames,Heroic,1,2340182,5135,3,123412,Dust2,Mirage,0.0,Overpass,Vertigo,0.0,Train,Inferno,Nuke,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-08,Triumph,Swole Identity,0,2340174,5178,3,123412,Train,Mirage,0.0,Nuke,Inferno,0.0,Overpass,Vertigo,Dust2,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-08,Rugratz,ex-eUnited,0,2340175,5178,3,123412,Dust2,Inferno,0.0,Mirage,Nuke,0.0,Vertigo,Overpass,Train,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-08,Apeks,Nordavind,1,2340171,5135,3,123412,Inferno,Dust2,0.0,Train,Overpass,0.0,Vertigo,Nuke,Mirage,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-07,HZ,Maple,1,2339934,5197,3,123412,Overpass,Mirage,0.0,Dust2,Vertigo,0.0,Inferno,Nuke,Train,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-07,Rooster,ORDER,0,2340141,5198,3,123412,Vertigo,Dust2,0.0,Overpass,Inferno,0.0,Mirage,Nuke,Train,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-07,Lucid Dream,Paper Rex,1,2339935,5197,3,123412,Vertigo,Dust2,0.0,Mirage,Inferno,0.0,Overpass,Nuke,Train,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-07,AVANT,Renegades,1,2340139,5198,3,123412,Vertigo,Overpass,0.0,Mirage,Dust2,0.0,Train,Inferno,Nuke,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-07,JiJieHao,ViCi,1,2339933,5196,3,123412,Vertigo,Overpass,0.0,Dust2,Inferno,0.0,Mirage,Nuke,Train,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-07,ORDER,Renegades,1,2340147,5198,3,123412,Overpass,Inferno,0.0,Vertigo,Mirage,0.0,Train,Nuke,Dust2,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-07,Skyfire,Chiefs,1,2340142,5198,3,123412,Dust2,Vertigo,0.0,Overpass,Mirage,0.0,Inferno,Nuke,Train,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-07,Beyond,Bren,1,2339936,5197,3,123412,Train,Mirage,0.0,Vertigo,Dust2,0.0,Overpass,Nuke,Inferno,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-07,Wubbalubbadubdub,R-Stars,0,2340145,5196,3,123412,Vertigo,Train,0.0,Nuke,Overpass,0.0,Dust2,Mirage,Inferno,0.0,0.0,0.0,0.0,0.0,0.0
