,team_1,team_2,_map,result_1,result_2,map_winner,event_id,match_id,rank_1,rank_2,map_wins_1,map_wins_2,match_winner
27854,Nexus,WASD,Overpass,13,16,2,3354,2317231,48,74,13,16,2
27855,Ground Zero,Masterminds,Cobblestone,14,16,2,3345,2317347,265,225,1,2,2
27856,Acapella,HAVU,Mirage,13,16,2,3276,2317312,195,34,13,16,2
27857,TEAM5,PRIDE,Train,15,19,2,3228,2317320,84,36,0,2,2
27858,Virtus.pro,Space Soldiers,Mirage,13,16,2,3047,2317364,6,18,0,2,2
27859,Cloud9,Gambit,Overpass,16,19,2,2956,2317294,7,10,2,1,1
27860,Cloud9,Gambit,Cobblestone,16,11,1,2956,2317294,7,10,2,1,1
27861,Cloud9,Gambit,Mirage,16,11,1,2956,2317294,7,10,2,1,1
27862,PACT,Conquer,Cache,16,14,1,3323,2317350,289,172,1,2,2
27863,PACT,Conquer,Mirage,8,16,2,3323,2317350,289,172,1,2,2
27864,Nice,Orion,Cobblestone,16,14,1,3323,2317351,147,207,1,2,2
27865,Nice,Orion,Mirage,10,16,2,3323,2317351,147,207,1,2,2
27866,Nice,Orion,Cache,8,16,2,3323,2317351,147,207,1,2,2
27867,TEAM5,PRIDE,Mirage,17,19,2,3228,2317320,84,36,0,2,2
27868,PACT,Conquer,Inferno,2,16,2,3323,2317350,289,172,1,2,2
27869,Windigo,WASD,Train,16,6,1,3354,2317398,53,74,16,6,1
27870,SK,OpTic,Overpass,16,2,1,2956,2317293,1,19,2,0,1
27871,Virtus.pro,Space Soldiers,Cache,4,16,2,3047,2317364,6,18,0,2,2
27872,Bpro,x6tence,Inferno,13,16,2,3323,2317352,217,137,0,2,2
27873,Nexus,WASD,Nuke,4,16,2,3354,2317397,48,74,4,16,2
27874,SK,OpTic,Inferno,16,12,1,2956,2317293,1,19,2,0,1
27875,Windigo,WASD,Overpass,16,9,1,3354,2317389,53,74,16,9,1
27876,Bpro,x6tence,Cobblestone,6,16,2,3323,2317352,217,137,0,2,2
27877,ALTERNATE aTTaX,GameAgents,Cobblestone,19,16,1,3333,2317354,57,132,19,16,1
27878,Rise Nation,Mythic,Inferno,16,11,1,3048,2317303,41,77,2,0,1
27879,Riotous,Grayhound,Inferno,0,16,2,3049,2316921,188,67,0,16,2
27880,Gale Force,GX,Inferno,13,16,2,3048,2317302,65,75,1,2,2
27881,Gale Force,GX,Cache,16,7,1,3048,2317302,65,75,1,2,2
27882,Gale Force,GX,Mirage,10,16,2,3048,2317302,65,75,1,2,2
27883,G2,Gambit,Overpass,22,19,1,2956,2317278,4,10,22,19,1
27884,Grayhound,SYF,Cache,16,2,1,3049,2317340,67,199,16,2,1
27885,Conspiracy,Tainted Minds,Overpass,11,16,2,3049,2317345,260,62,11,16,2
