team_won,team_lost,winning_score,losing_score
GamerLegion,BIG,16,11
AVANT,Chiefs,2,1
Paradox,FURY,16,8
ORDER,Ground Zero,2,0
Rooster,i sleep,16,13
Envy,Chaos,2,1
Yeah,Ze Pug Godz,2,1
New England Whalers,Big Frames,19,17
Recon 5,Thunder Logic,16,12
Station7,Infinity,16,13
Triumph,Mythic,2,1
Monstars,TeamOne,16,6
Orgless,ex-eUnited,2,1
Recon 5,Monstars,16,9
Infinity,New England Whalers,16,7
GODSENT,OG,2,1
Dignitas,Nordavind,2,1
Movistar Riders,BIG,2,1
Chaos,LiViD,2,0
Yeah,Divine,2,0
Copenhagen Flames,Heroic,2,0
Triumph,Swole Identity,2,0
eUnited,Rugratz,2,0
Nordavind,Apeks,2,1
TYLOO,EHOME,2,0
OG,KOVA,2,0
Lucid Dream,Beyond,3,0
Movistar Riders,SMASH,2,1
Copenhagen Flames,Sprout,2,1
EHOME,JiJieHao,2,1
Beyond,BTRG,2,1
ORDER,Chiefs,2,0
JiJieHao,Lynn Vision,2,1
Chiefs,Ground Zero,2,1
BTRG,HZ,2,0
EHOME,R-Stars,1,0
Ground Zero,Rooster,2,1
Gen.G,Orgless,2,0
Chiefs,AVANT,2,0
Cloud9,Mythic,2,0
Bad News Bears,Ze Pug Godz,2,0
FURIA,Envy,2,0
Orgless,Yeah,2,1
Mythic,Chaos,2,1
NIP,BIG,2,0
Complexity,GODSENT,2,0
Cloud9,LiViD,2,0
Gen.G,Divine,2,0
fnatic,Dignitas,2,1
Envy,Swole Identity,2,1
Ze Pug Godz,eUnited,2,1
FURIA,Triumph,2,0
Heretics,Heroic,2,0
Bad News Bears,Rugratz,2,1
Camel Riders,Aequus,3,2
NIP,Apeks,2,1
BTRG,Maple,2,1
GODSENT,Copenhagen Flames,2,0
HZ,Bren,2,1
Complexity,Sprout,2,0
BIG,Nordavind,2,0
ViCi,TYLOO,2,1
Lucid Dream,Beyond,2,0
Heroic,KOVA,2,0
Dignitas,Movistar Riders,2,0
Aequus,Yalla,2,0
Heretics,OG,2,0
fnatic,SMASH,2,0
Ignis,Entry,2,0
ViCi,EHOME,2,1
Beyond,BTRG,2,0
Lucid Dream,HZ,2,1
Aequus,Finest,2,0
Maple,Paper Rex,2,1
JiJieHao,OneThree,2,1
Renegades,ORDER,2,1
Bren,Blank,2,0
TYLOO,Lynn Vision,2,0
R-Stars,Wubbalubbadubdub,2,0
Beyond,Bren,2,1
Chiefs,Skyfire,2,1
BTRG,Blank,2,0
HZ,Maple,2,0
ViCi,JiJieHao,2,1
Renegades,AVANT,2,1
Lucid Dream,Paper Rex,2,0
Lynn Vision,R-Stars,2,0
ORDER,Rooster,2,0
EHOME,OneThree,2,0
TYLOO,Wubbalubbadubdub,2,0
Ground Zero,catman,2,0
Supremacy,Infamous,2,0
Rooster,Chiefs,2,1
Under 21,In The Lab,16,5
Recon 5,Divine,16,1
ORDER,Skyfire,2,0
Triumph,Station7,16,12
EGOBOYZ,Gorillaz Pride,2,1
AVANT,Ground Zero,2,0
Renegades,catman,2,0
Under 21,Divine,16,3
Triumph,Infinity,16,10
Unique,1WIN,2,1
forZe,pro100,2,0
Espada,HellRaisers,2,0
Hard Legion,Nemiga,2,0
Camel Riders,Yalla,2,1
AGO,Wisla Krakow,16,14
pro100,SG.pro,2,1
HellRaisers,SpeedRunners,2,1
Finest,ATK,2,1
AGO,GamerLegion,16,6
TIGER,D13,2,1
Unique,fbg,2,0
Nemiga,eL'quvet,2,0
Aequus,Goliath,2,0
PACT,Wisla Krakow,16,4
D13,MVP PK,2,0
Big Frames,OCG,16,11
Triumph,New England Whalers,16,2
Triumph,Big Frames,22,20
Under 21,LiViD,16,9
Swole Identity,Monstars,16,14
Triumph,LiViD,19,17
Swole Identity,New England Whalers,16,12
BOOM,Isurus,2,0
Infinity,Monstars,16,7
eUnited,Divine,16,6
Rugratz,Infinity,16,4
ATK,NASR,2,1
Orgless,Chaos,2,1
BOOM,TeamOne,2,0
Aequus,JustPassingBy,2,1
Camel Riders,Finest,2,1
Syman,Hard Legion,2,1
Yalla,Goliath,2,0
Spirit,Espada,2,0
Winstrike,forZe,2,0
Gambit Youngsters,1WIN,2,0
AGO,Singularity,16,8
BIG,HAVU,2,0
Movistar Riders,Singularity,16,12
Finest,JustPassingBy,2,1
Espada,pro100,2,1
Hard Legion,Unique,2,1
Goliath,NASR,2,1
Unicorns of Love,PACT,16,9
Yalla,ATK,2,1
Winstrike,HellRaisers,2,0
Syman,fbg,2,0
Gambit Youngsters,eL'quvet,2,0
Camel Riders,Aequus,2,1
Japaleno,Illuminar,16,4
Spirit,SG.pro,2,0
1WIN,Nemiga,2,0
GamerLegion,PACT,16,4
forZe,SpeedRunners,2,0
Sprout,Wisla Krakow,16,14
Mazaalai,TIGER,2,0
Paradox,Eimi Fukada FC,2,1
GamerLegion,Illuminar,16,6
MVP PK,Ignis,2,0
FURY,i sleep,19,17
Rooster,Shidiots,2,0
D13,Updraft,2,0
EHOME,Invictus,2,0
AVANT,Airborne,16,4
Paradox,MARKandLARRY,2,1
Rooster,Skyfire,2,0
Recon 5,Triumph,16,14
Chaos,Copenhagen Flames,2,1
LiViD,New England Whalers,16,10
TeamOne,paiN,2,0
BOOM,Imperial,2,1
Triumph,Swole Identity,16,11
Mythic,In The Lab,16,9
Under 21,Station7,16,10
Recon 5,New England Whalers,16,5
LiViD,Infinity,16,7
In The Lab,Swole Identity,16,13
Bad News Bears,eUnited,16,12
Triumph,Rugratz,16,12
Station7,LiViD,16,10
Big Frames,Infinity,16,12
Mythic,Divine,19,15
BIG,DETONA,2,0
RED Canids,Isurus,2,0
Chaos,Redemption POA,2,0
Spirit,Japaleno,19,16
BIG,AVEZ,2,0
AGO,PACT,16,9
Singularity,Wisla Krakow,16,12
Illuminar,Singularity,16,14
Japaleno,PACT,16,8
Spirit,Sprout,16,12
Unicorns of Love,Wisla Krakow,16,14
Mazaalai,Ignis,2,0
Updraft,Aim4R,2,1
TIGER,D13,2,0
MVP PK,ikarus,1,0
AVANT,Paradox,2,0
Incept,Esper,16,13
D13,MVP PK,2,0
Mazaalai,Updraft,2,0
Ignis,Aim4R,2,0
Ground Zero,Formidable,16,9
Skyfire,Esper,16,6
TIGER,ikarus,1,0
Chiefs,Eimi Fukada FC,2,0
HAVU,Copenhagen Flames,2,1
Isurus,Imperial,2,0
In The Lab,Monstars,19,16
paiN,Sharks,2,0
RED Canids,TeamOne,2,0
Orgless,DETONA,2,0
OCG,LiViD,19,17
Recon 5,Infinity,16,12
Under 21,Monstars,19,15
Triumph,Divine,16,7
BOOM,W7M,2,0
eUnited,Recon 5,16,10
Bad News Bears,Mythic,16,12
HAVU,Chaos,28,26
Rugratz,Mythic,16,3
Isurus,paiN,2,1
Imperial,Sharks,2,1
TeamOne,BOOM,2,0
RED Canids,W7M,2,0
Copenhagen Flames,Redemption POA,16,7
Orgless,AVEZ,16,14
AGO,Spirit,16,4
Movistar Riders,Illuminar,16,6
AGO,Japaleno,16,13
DETONA,BIG,16,11
PACT,Illuminar,16,12
GamerLegion,Nordavind,16,8
Ground Zero,Rooster,2,0
ORDER,Skyfire,2,1
Triumph,OCG,16,8
LiViD,In The Lab,16,4
Triumph,Mythic,16,13
Bad News Bears,In The Lab,16,3
Unicorns of Love,Illuminar,16,7
Demolition Crew,AGO,16,6
HellRaisers,Illuminar,16,5
TRIDENT,Airborne,16,12
AVANT,Ground Zero,16,11
Swole Identity,OCG,16,6
Bad News Bears,Infinity,16,5
Bad News Bears,Chaos,16,9
9z,Sinisters,2,0
HellRaisers,Hard Legion,2,1
Natus Vincere,G2,3,0
Wings,Global,2,1
Global,Umumba,16,13
Wings,Global,25,23
Paradox,Skyfire,2,0
Skyfire,Lucid,2,0
Rooster,Incept,16,3
Umumba,LevelZero,19,16
Paradox,Lucid,2,1
Global,Umumba,16,13
Wings,LevelZero,16,3
9z,Rysix,2,1
Sinisters,Duck Nutz,2,1
Natus Vincere,Astralis,2,0
HAVU,SJ,2,1
G2,fnatic,2,1
Spirit,forZe,2,1
KOVA,hREDS,2,1
madlikewizards,Eimi Fukada FC,2,0
Eimi Fukada FC,MC,2,0
madlikewizards,Eimi Fukada FC,2,0
9z,Nocturns,2,0
Sinisters,FREEROX,2,0
Natus Vincere,Liquid,2,0
SJ,KOVA,2,0
Sprout,Demolition Crew,16,11
fnatic,100 Thieves,2,0
Singularity,Sprout,16,11
HAVU,hREDS,2,0
Under 21,Swole Identity,16,11
Chaos,Divine,16,11
OCG,Asuna's Anime Aimers,16,13
Monstars,LiViD,16,11
Rugratz,Swole Identity,28,26
Duck Nutz,Nocturns,16,13
OCG,Infinity,16,9
Sinisters,LND,16,5
9z,Rejected,16,2
Rysix,FREEROX,16,11
100 Thieves,mousesports,2,1
Sprout,AGO,16,8
Japaleno,Demolition Crew,16,10
Natus Vincere,FaZe,2,1
AGO,Movistar Riders,16,11
G2,Liquid,2,0
Singularity,Japaleno,16,7
HellRaisers,NAVI Junior,2,0
Astralis,fnatic,2,0
100 Thieves,Evil Geniuses,2,1
mousesports,MAD Lions,2,0
i sleep,Corvidae,2,0
AVANT,Chiefs,16,10
VERTEX,Airborne,2,1
Ground Zero,PC419,16,10
Rooster,FURY,16,13
Ground Zero,MC,16,5
ORDER,Esper,16,2
Thunder Logic,Station7,16,2
Divine,OCG,16,11
Recon 5,Rugratz,16,8
Mythic,Infinity,16,9
Under 21,Chaos,16,10
Rysix,LND,16,3
Mythic,OCG,16,8
Nocturns,Rejected,16,11
Duck Nutz,9z,22,19
FREEROX,Sinisters,16,10
Liquid,Evil Geniuses,2,1
FaZe,Vitality,2,1
HAVU,PACT,16,12
G2,mousesports,2,1
HAVU,HellRaisers,16,9
Movistar Riders,PACT,16,5
Sprout,Japaleno,16,4
Nordavind,Demolition Crew,16,8
Nemiga,pro100,16,12
Natus Vincere,NIP,2,0
MAD Lions,Virtus.pro,2,1
100 Thieves,TYLOO,2,0
Chiefs,Airborne,16,7
Incept,Formidable,16,9
Paradox,Airborne,16,5
ORDER,PC419,16,3
Chiefs,ROCK CANDY,1,0
AVANT,Rooster,16,11
MC,PC419,16,11
Under 21,Big Frames,1,0
Swole Identity,LiViD,19,16
Mythic,Thunder Logic,16,13
Divine,New England Whalers,16,14
eUnited,Infinity,16,10
Bad News Bears,Recon 5,16,8
OCG,Thunder Logic,16,9
Swole Identity,Station7,16,1
Chaos,Mythic,16,12
fnatic,Natus Vincere,2,1
pro100,Japaleno,16,10
Sprout,HellRaisers,16,9
Wisla Krakow,Demolition Crew,19,16
FaZe,Renegades,2,0
Movistar Riders,pro100,16,10
AGO,HellRaisers,16,13
Astralis,Vitality,2,0
PACT,Demolition Crew,16,5
NIP,Cloud9,2,0
Evil Geniuses,MAD Lions,2,1
Liquid,Virtus.pro,2,0
TRIDENT,Incept,16,13
Paradox,Skyfire,16,14
Formidable,Esper,16,14
AVANT,FURY,16,11
Big Frames,Monstars,16,5
Monstars,OCG,16,14
G2,100 Thieves,2,0
Natus Vincere,FaZe,2,1
mousesports,TYLOO,2,0
pro100,Nordavind,22,19
pro100,BIG,16,13
fnatic,Renegades,2,0
Vitality,NIP,2,0
Astralis,Cloud9,2,0
MC,ROCK CANDY,16,2
AVANT,ORDER,16,1
AVANT,Esper,16,4
ORDER,Rooster,16,0
Gen.G,FURIA,2,0
RAIJIN,TGS,2,0
Monstars,Thunder Logic,16,4
FURIA,Complexity,2,1
AGO,Copenhagen Flames,2,1
Gen.G,North,2,0
AGO,Gambit Youngsters,2,1
BIG,Wisla Krakow,16,2
Titan,Medieval,2,1
Medieval,Synergy,2,1
Titan,Skinlordz,2,0
HaBzz,Electrify,2,0
Updraft,ikarus,2,0
Complexity,MIBR,2,0
North,Endpoint,2,0
MIBR,ENCE,2,1
Endpoint,forZe,2,1
Copenhagen Flames,AGO,2,0
HAVU,LDLC,2,0
Gambit Youngsters,Nemiga,2,0
Assassins,Dignitas fe,2,1
HAVU,FATE,2,0
Dignitas fe,INTZ fe,16,11
LDLC,SJ,2,0
Gen.G,Complexity,16,13
UP,fakeDOSPRO,2,0
FURIA,North,16,3
INTZ fe,Carnage fe,2,1
fakeDOSPRO,Neverest,2,1
Complexity,MIBR,16,11
North,forZe,16,8
Nemiga,Demolition Crew,2,1
Gen.G,ENCE,16,14
HAVU,KYNYNIEKAT,2,0
Gambit Youngsters,FATE,2,1
FURIA,Endpoint,16,6
GamerLegion,Unicorns of Love,16,8
SJ,hREDS,2,0
Assassins,Dignitas fe,2,0
GamerLegion,Nemiga,16,7
LDLC,KYNYNIEKAT,16,13
Assassins,INTZ fe,16,9
FATE,SJ,16,14
Dignitas fe,Carnage fe,16,14
OG,Redemption POA,2,1
AVEZ,Winstrike,2,1
Spirit,GamerLegion,2,1
SKADE,Copenhagen Flames,2,0
Gambit Youngsters,HAVU,2,1
ATK,Gaming Hub,2,0
Camel Riders,IGEN,2,0
JiJieHao,Invictus,2,1
Wubbalubbadubdub,Aster,2,1
Born in Mongolia,ikarus,2,0
Aim4R,Updraft,2,0
Swole Identity,Asuna's Anime Aimers,2,1
eUnited,Bad News Bears,2,1
Chaos,Yeah,2,0
Orgless,Recon 5,2,0
Isurus,DETONA,2,1
RED Canids,INTZ.Academy,2,1
Rysix,Alma,2,1
Asuna's Anime Aimers,Rugratz,2,1
Recon 5,Ze Pug Godz,2,1
Swole Identity,Big Frames,2,0
Orgless,Triumph,2,0
W7M,ex-skullz,2,0
Redemption POA,Bravos,2,0
Gambit Youngsters,SAW,2,1
Spirit,Juggernauts,2,1
Chaos,Swole Identity,2,1
TeamOne,Evidence,1,0
Yeah,Asuna's Anime Aimers,2,1
W7M,Keyd,2,0
eUnited,Recon 5,2,0
Rysix,Reapers,2,0
Bad News Bears,Triumph,2,0
HAVU,Syman,2,0
GamerLegion,Heretics,2,0
Alma,Dynasty,2,0
ex-skullz,RED Canids,1,0
G2,OG,2,0
Isurus,RED Canids,2,1
DETONA,W7M,2,1
Gambit Youngsters,Movistar Riders,2,1
SKADE,Heretics,2,1
Syman,Nexus,2,1
Bravos,Dynasty,2,0
Juggernauts,Salamander,2,1
SG.pro,Se7en,2,0
Copenhagen Flames,Spirit,2,1
Redemption POA,Reapers,2,0
GamerLegion,Tricked,2,0
Winstrike,SAW,2,0
AVEZ,HAVU,2,0
Akatsuki,AllTheRage,2,0
Evil Geniuses,100 Thieves,2,0
Tricked,Singularity,2,1
Finest,shinelikedemons,2,0
SpeedRunners,Moscow Five Academy,2,0
Movistar Riders,Endpoint,2,1
Juggernauts,1WIN,2,1
Syman,Hard Legion,2,0
Gambit Youngsters,pro100,2,0
Aequus,Viboras,2,0
GamerLegion,ex-Virtus.pro,2,0
Akatsuki,Timechasers,2,0
Nexus,Sinners,2,0
Salamander,Unique,2,0
AllTheRage,1337HUANIA,2,0
D13,Updraft,2,0
Ignis,Aim4R,2,0
Orgless,New England Whalers,2,0
Rugratz,RBG,2,1
Big Frames,Prospects,2,1
Evidence,2K,16,14
Ze Pug Godz,Mythic,2,0
Chaos,Orgless,2,1
INTZ.Academy,Imperial,16,14
TeamOne,Rensga,16,4
RED Canids,Bravos,16,6
Recon 5,Rugratz,2,1
Yeah,Mythic,2,0
Triumph,Prospects,2,0
Swole Identity,New England Whalers,2,0
Alma,Soberano,2,0
Rysix,Neverest,2,0
eUnited,RBG,2,0
Asuna's Anime Aimers,Ze Pug Godz,2,0
Bad News Bears,Big Frames,2,0
Keyd,paiN,1,0
Endpoint,NLG,2,1
AVEZ,Salamander,2,1
ex-skullz,TeamOne,1,0
Heretics,Movistar Riders,2,1
Singularity,SMASH,2,1
Isurus,Neverest,2,0
OG,Evil Geniuses,2,1
SKADE,pro100,2,1
Juggernauts,Ekaterinburg,2,1
Winstrike,ex-Virtus.pro,2,0
DETONA,Alma,2,0
GamerLegion,Cream,2,0
Redemption POA,ex-skullz,2,0
Gambit Youngsters,AGO,2,0
Dynasty,paiN,1,0
Mythic,Skyfire,28,25
eL'quvet,Project X,19,17
Revolt,Se7en,16,10
fbg,lapw,19,17
ne parsya,maslomaslo,16,3
Spirit,Gambit Youngsters,2,1
HAVU,Demolition Crew,16,10
pro100,Espada,2,0
Revolt,SG.pro,2,0
ORDER,TRIDENT,16,11
Mythic,Recon 5,2,1
Divine,Rap Gang,2,1
Apeks,Pompa,2,1
Natus Vincere,Complexity,2,0
Pompa,AGO,22,20
KOVA,Endpoint,2,0
Apeks,Lyngby Vikings,16,11
Natus Vincere,Vitality,2,0
Endpoint,fakemaquinas,22,19
KOVA,SKADE,16,13
Unique,EXTREMUM,2,0
SHIFT,DivisionX,2,0
Skyfire,Paradox,2,0
madlikewizards,Ferox,2,0
SHIFT,Akatsuki,2,0
Paradox,MC,16,14
madlikewizards,FURY,16,3
Ferox,TRIDENT,16,14
Skyfire,Incept,16,8
DivisionX,Akatsuki,2,0
Mythic,Faint,16,14
Recon 5,Orgless,16,12
Divine,Infinity,16,6
Rap Gang,Hot Ass,16,3
Apeks,SMASH,19,16
fakemaquinas,GamerLegion,19,17
Endpoint,9INE,16,7
SKADE,Demolition Crew,16,12
Pompa,Unluckers,16,6
AGO,SAW,16,8
KOVA,Japaleno,16,14
Lyngby Vikings,Secret,16,11
Complexity,Vitality,2,0
Natus Vincere,Astralis,2,1
Gambit Youngsters,SG.pro,2,0
SHIFT,1820HT,2,0
catman,MC,2,1
Ground Zero,Paradox,2,1
Akatsuki,1820HT,2,1
catman,Skyfire,28,26
Ground Zero,Formidable,16,4
Paradox,Airborne,16,12
MC,madlikewizards,16,5
DivisionX,SHIFT,2,0
Complexity,Astralis,2,0
1WIN,EveryBodyDance,2,1
Unicorns of Love,AGO,22,19
Unique,100PG,2,1
Vitality,Natus Vincere,2,0
GamerLegion,Movistar Riders,16,13
Copenhagen Flames,NAVI Junior,2,0
Spirit,Revolt,2,0
Unique,UnlukoExpress,16,14
EveryBodyDance,Ha MaSSe,16,13
100PG,Moscow Five Academy,19,15
1WIN,SG.pro,16,13
GamerLegion,Demolition Crew,16,12
mousesports,Natus Vincere,3,1
Movistar Riders,Unicorns of Love,16,4
Singularity,Nemiga,16,9
TRIDENT,Formidable,16,11
ORDER,MC,16,13
Rooster,Airborne,19,17
TRIDENT,Ground Zero,19,17
LiViD,Polar Ace,2,0
Ze Pug Godz,Divine,2,0
Sprout,AGO,2,0
Nordavind,PACT,2,1
Sprout,AVEZ,16,12
AGO,Juggernauts,16,11
PACT,Copenhagen Flames,16,14
Hard Legion,EXTREMUM,2,0
Nordavind,ex-Virtus.pro,16,8
Natus Vincere,GODSENT,2,0
mousesports,MAD Lions,2,1
FURY,ROCK CANDY,1,0
AVANT,MC,16,14
PC419,ROCK CANDY,16,13
Airborne,Formidable,16,14
FURY,Esper,16,10
AVANT,PC419,16,9
ORDER,Skyfire,16,5
Polar Ace,Monstars,16,12
Divine,Station7,16,7
LiViD,Mythic,16,7
Polar Ace,ex-iNTACT,16,14
Ze Pug Godz,Prospects,16,3
Station7,RBG,22,20
Mythic,Big Frames,16,7
Ze Pug Godz,New England Whalers,16,10
Divine,Russian Street Party,16,4
LiViD,Faint,16,13
Monstars,ImPerium,16,10
Prospects,Asuna's Anime Aimers,16,12
AGO,HAVU,22,20
Nordavind,FATE,16,8
Sprout,Secret,16,10
ex-Virtus.pro,Endpoint,16,12
Juggernauts,ad hoc,16,6
Copenhagen Flames,FiveG,16,7
AVEZ,AGF,16,9
PACT,Complexity,16,10
GODSENT,Virtus.pro,2,0
MAD Lions,OG,2,0
Paradox,PC419,19,16
Rooster,Skyfire,16,6
Incept,AVANT,16,10
Rugratz,Asuna's Anime Aimers,16,5
paiN,Imperial,2,0
W7M,RED Canids,2,1
paiN,Alma,16,8
Espada,Space Jam,2,1
Demolition Crew,Unicorns of Love,16,5
Nemiga,Unique,2,0
Illuminar,Wisla Krakow,16,4
Wisla Krakow,GamerLegion,16,10
RED Canids,Bravos,16,14
W7M,Keyd,19,16
Imperial,TeamOne,16,11
Espada,DreamEaters,16,11
Nemiga,SG.pro,16,1
Unique,Se7en,16,13
Space Jam,BlinkDagger,16,5
FaZe,Liquid,2,0
GODSENT,ENCE,2,0
Liquid,NIP,2,0
MAD Lions,Heroic,2,0
Sinners,savage,2,0
Natus Vincere,OG,2,0
Maple,ClownS,2,0
HZ,SGINDOMIX,2,0
Sinners,Vexed,2,1
mousesports,Virtus.pro,2,0
ex-Genuine,FURY,16,5
Rugratz,Infinity,2,0
Envy,Faint,2,0
BIG,Complexity,2,1
FaZe,Liquid,2,0
savage,Smoke Criminals,2,0
Dignitas,Sprout,2,1
Natus Vincere,GODSENT,2,1
Complexity,SKADE,16,12
BIG,Secret,16,9
NIP,MIBR,2,1
Sinners,Brute,2,0
Smoke Criminals,FALKN,2,0
Dignitas,GamerLegion,25,21
Vexed,Prima,2,0
savage,Fragbox,2,0
mousesports,MAD Lions,2,0
Sprout,AGO,16,8
Fragbox,Pompa,2,1
FALKN,Genesis,2,0
Blank,DivisionX,2,1
Virtus.pro,Heroic,2,0
Vexed,SILENT,2,0
Brute,ttc,2,0
Prima,Moops,2,0
Smoke Criminals,High Coast,2,0
Sinners,Seven.Modula,2,0
savage,Vikingekrig,2,0
Paper Rex,Astro,2,0
OneThree,Invictus,2,1
OG,ENCE,2,0
EHOME,Aster,2,0
Infinity,Ze Pug Godz,16,10
Envy,Asuna's Anime Aimers,16,12
Rugratz,ex-iNTACT,16,3
Ground Zero,Paradox,3,1
Faint,Station7,16,1
Secret,Lyngby Vikings,22,20
SKADE,FiveG,16,12
Sprout,Japaleno,16,7
Complexity,Apologis,16,6
Dignitas,AVEZ,16,9
BIG,FATE,16,5
AGO,SJ,16,6
GamerLegion,Apeks,16,9
Liquid,MIBR,2,0
Gambit Youngsters,Espada,2,1
FaZe,NIP,2,0
Copenhagen Flames,DreamEaters,2,0
NAVI Junior,Skin Ogres,2,1
MC,Airborne,16,12
ex-Genuine,MC,16,13
Airborne,Esper,16,12
Copenhagen Flames,Sprout,2,1
Wisla Krakow,Skin Ogres,2,0
Espada,Hard Legion,2,0
Airborne,Incept,16,7
PC419,Rooster,16,12
MC,Paradox,16,13
Ground Zero,ROCK CANDY,1,0
Skyfire,MC,16,14
ROCK CANDY,Esper,16,9
ex-Genuine,Formidable,16,1
GamerLegion,HAVU,2,1
Espada,Akatsuki,2,0
HAVU,NAVI Junior,2,1
ORDER,Incept,16,10
MC,Formidable,16,13
Paradox,TRIDENT,16,8
Gambit Youngsters,EXTREMUM,2,0
Skin Ogres,DreamEaters,2,0
ORDER,Airborne,16,10
Zorka,97club,2,1
BIG,Renegades,2,0
NAVI Junior,Tricked,2,0
EXTREMUM,DreamEaters,2,1
BIG,Heroic,2,0
GamerLegion,HAVU,2,0
Renegades,MAD Lions,2,1
Copenhagen Flames,AGF,2,0
AGF,Sigma,16,8
Sigma,Lyngby Vikings,19,16
Heroic,North,2,1
Copenhagen Flames,AGF,2,1
Yalla,Divine Vendetta,2,0
Renegades,Cloud9,2,0
Gambit Youngsters,Akatsuki,2,1
HAVU,Tricked,1,0
Heroic,Sprout,2,0
GamerLegion,NAVI Junior,2,0
Cloud9,Virtus.pro,2,0
INTZ,Swole Patrol,2,0
MAD Lions,North,16,10
Espada,Nemiga,2,0
NAVI Junior,AUGUST,2,0
BIG,Renegades,16,8
MAD Lions,Heroic,16,10
NAVI Junior,SMASH,2,1
Renegades,Cloud9,16,10
North,Sprout,16,4
BIG,Virtus.pro,16,8
INTZ,Riot Squad,2,0
Copenhagen Flames,forZe,2,1
Tricked,SKADE,2,0
Wisla Krakow,DreamEaters,2,1
HAVU,AUGUST,2,1
TRIDENT,ex-Genuine,16,11
Skyfire,ROCK CANDY,16,4
ROCK CANDY,Formidable,16,10
FURY,Airborne,16,13
Swole Patrol,Singularity,2,1
Espada,KOVA,2,1
GamerLegion,Tricked,2,1
HellRaisers,Axis,2,0
Hard Legion,EXTREMUM,2,1
Sprout,HAVU,2,1
AUGUST,NAVI Junior,2,1
Nemiga,SKADE,2,0
Axis,Copenhagen Flames,2,0
SKADE,ALTERNATE aTTaX,2,0
HZ,Maple,2,0
Ground Zero,Incept,16,9
Rooster,Formidable,16,3
Rooster,Paradox,16,9
PC419,FURY,16,6
Ground Zero,Esper,16,6
ex-Genuine,Esper,16,4
HZ,Hard4U,2,0
Maple,Hard4U,2,0
KOVA,Apeks,2,0
HAVU,SMASH,2,1
HellRaisers,Copenhagen Flames,2,0
Espada,spray'n'pray,2,0
GamerLegion,ALTERNATE aTTaX,2,0
Axis,NAVI Junior,2,1
Tricked,SKADE,2,1
HZ,Se7en,2,1
Skyfire,TRIDENT,16,11
Hard4U,HZ,2,0
Maple,Se7en,2,1
Singularity,Chaos,2,0
forZe,Hard Legion,2,0
HZ,Lucid Dream,2,1
ORDER,Paradox,16,11
ORDER,FURY,16,2
Se7en,Absolute,2,1
Supremacy,Infinity,2,0
RSC19,Jokers,2,0
Infinity,FreeStyle,2,0
Supremacy,Incubus,2,0
Complexity,eUnited,2,0
Gen.G,Riot Squad,2,0
Complexity,INTZ,2,1
Riot Squad,Singularity,2,1
Gen.G,Chaos,2,1
forZe,Heroic,2,0
eUnited,Triumph,2,0
Espada,BIG Academy,2,1
lapw,Cerberus,2,0
forZe,CR4ZY,2,0
Heroic,GODSENT,2,1
Hard4U,Absolute,2,0
forZe,Winstrike,2,1
CR4ZY,SKADE,2,1
GODSENT,HAVU,2,0
Heroic,AVEZ,2,0
Se7en,Astro,2,0
Skyfire,Formidable,16,5
Maple,Lucid Dream,2,0
HZ,Bren,2,0
RSC19,Cephei,2,0
Jokers,Agarthas,2,0
Chaos,New England Whalers,2,1
INTZ,Triumph,2,0
Triumph,Just For Fun,2,0
Riot Squad,Saskatoon Warriors,2,0
INTZ,OCG,2,0
Nemiga,Budapest Five,2,1
Hard4U,Astro,2,0
AVEZ,BIG,2,1
HAVU,Spirit,2,1
Winstrike,pro100,2,0
Absolute,Se7en,2,0
SKADE,cisbots,2,0
Winstrike,Illuminar,16,12
SKADE,Gambit Youngsters,16,12
Spirit,S2V,16,14
BIG,x6tence,16,9
AVEZ,Movistar Riders,16,8
Maple,Bren,2,1
pro100,EURONICS,1,0
Lucid Dream,HZ,2,1
HAVU,MELBET,16,13
cisbots,Syman,16,10
Akatsuki,Espada,2,0
Skin Ogres,Nemiga,2,1
GODSENT,GRID Staff,2,1
Swole Patrol,Station7,2,0
Riot Squad,Mythic,2,0
DreamEaters,eL'quvet,2,1
Wisla Krakow,Nemiga,2,0
SKADE,MeAndTheBoys,2,1
Gambit Youngsters,spray'n'pray,2,0
Astro,Armory,2,1
DreamEaters,Skin Ogres,2,0
Renegades,ex-Genuine,3,1
TRIDENT,PC419,16,9
Maple,Astro,2,1
Formidable,FURY,16,12
MC,Incept,16,7
ex-Genuine,ORDER,2,1
Alpha Red,Armory,2,0
Singularity,Rap Gang,2,0
Apeks,No Problem!,2,0
HAVU,Illuminar,2,1
Hard Legion,eL'quvet,2,0
Budapest Five,Avengers,2,1
EXTREMUM,DreamEaters,2,0
HellRaisers,Axis,2,0
ex-Genuine,AVANT,2,1
Renegades,ROCK CANDY,16,0
Rooster,ROCK CANDY,16,2
AVANT,Airborne,2,1
ex-Genuine,Paradox,2,1
Renegades,ORDER,2,0
Rooster,Esper,16,1
Station7,Cloud9,1,0
Swole Patrol,ex-iNTACT,2,1
INTZ,Divine,2,0
Triumph,7Sins,2,0
Chaos,New England Whalers,2,0
SKADE,Nexus,2,1
KOVA,Juggernauts,2,0
Copenhagen Flames,NAVI Junior,2,0
Espada,OFFSET,2,0
Spirit,GODSENT,3,0
Copenhagen Flames,ARCY,2,0
Airborne,Ground Zero,2,0
Renegades,Paradox,2,0
ORDER,AVANT,2,0
